,Tiempo [s],Corriente tubo [A],Err corriente tubo [A],Tension tubo [V],Err tension tubo [V],"Medicion ""corriente"" [V]","Medicion ""tension"" [V]","Rango ""corriente""","Rango ""tension""",Hora
0,0.0,1.1069986541049798e-10,5.54125335870704e-13,26.59028538070886,0.39888761708572695,1.645e-06,0.024318789,0.1,0.1,12:44:22
1,1.594221591949463,3.499327052489906e-11,1.7516599138909525e-13,26.676911521848098,0.40018710084960213,5.2e-07,0.024398014,0.1,0.1,
2,2.786985397338867,9.663526244952895e-11,4.837230981528329e-13,26.833280650759495,0.4025328474199943,1.436e-06,0.024541026,0.1,0.1,
3,3.9705169200897217,9.104979811574697e-11,4.557643153772533e-13,22.765170976139242,0.3415061046232912,1.353e-06,0.020820438,0.1,0.1,
4,5.151225805282593,3.223418573351279e-11,1.6135503821854689e-13,45.10675249732912,0.6766578033388717,4.79e-07,0.04125347,0.1,0.1,
5,6.3324480056762695,2.2907133243606998e-10,1.1466494677072735e-12,52.66781178255697,0.790083208813519,3.404e-06,0.048168622,0.1,0.1,
6,7.513263702392578,1.5969044414535667e-10,7.993541930602738e-13,61.69413730845569,0.9254893842044206,2.373e-06,0.056423865,0.1,0.1,
7,8.690502882003784,2.1850605652759084e-10,1.0937635719132094e-12,70.43094148286076,1.0565524051947517,3.247e-06,0.064414321,0.1,0.1,
8,9.87093472480774,2.164199192462988e-10,1.083321133903677e-12,79.80769139749367,1.1972154004213662,3.216e-06,0.072990054,0.1,0.1,
9,11.046134948730469,2.2133243606998655e-10,1.1079113911592809e-12,88.84985925875948,1.3328592472510632,3.289e-06,0.081259787,0.1,0.1,
10,12.22864580154419,2.073351278600269e-10,1.0378460006937085e-12,98.28080287894937,1.4743352132984124,3.081e-06,0.089885084,0.1,0.1,
11,13.412200689315796,2.528263795423957e-10,1.2655585203910103e-12,107.26271805120254,1.6090752033555205,3.757e-06,0.098099712,0.1,0.1,
12,14.604682683944702,1.9825033647375503e-10,9.92370867586551e-13,116.67705454488608,1.7502985326392464,2.946e-06,0.10670982,0.1,1.0,
13,15.759845495223999,2.507402422611036e-10,1.2551160823193835e-12,126.22316881260758,1.89350193114407,3.726e-06,0.11544045,0.1,1.0,
14,16.912803888320923,2.2200538358008077e-10,1.1112799195524177e-12,135.01699973568356,2.025420141496459,3.299e-06,0.12348306,0.1,1.0,
15,18.068530082702637,2.4448183041722747e-10,1.2237887681231735e-12,143.18573022307595,2.1479610923698407,3.633e-06,0.13095397,0.1,1.0,
16,19.218425512313843,2.724764468371467e-10,1.3639195501059177e-12,152.36385938074682,2.2856442587989956,4.049e-06,0.13934805,0.1,1.0,
17,20.369518280029297,2.1150740242261104e-10,1.0587308766744688e-12,161.2497445551013,2.4189433882969813,3.143e-06,0.14747485,0.1,1.0,
18,21.5244882106781,1.835127860026918e-10,9.186000963594875e-13,170.59858787730377,2.5591874634587883,2.727e-06,0.15602506,0.1,1.0,
19,22.676355361938477,2.69650067294751e-10,1.34977173074918e-12,179.43052225983544,2.6916772979022108,4.007e-06,0.16410252,0.1,1.0,
20,23.828612089157104,1.9401076716016152e-10,9.711491388424587e-13,188.2876073628228,2.8245443878433014,2.883e-06,0.17220298,0.1,1.0,
