,Tiempo [s],Corriente tubo [A],Err corriente tubo [A],Tension tubo [V],Err tension tubo [V],"Medicion ""corriente"" [V]","Medicion ""tension"" [V]","Rango ""corriente""","Rango ""tension""",Hora
0,0.0,1.5901749663526244e-10,7.959856647380871e-13,26.010806220886074,0.39019471450139737,2.363e-06,0.023788813,0.1,0.1,9:19:12
1,1.619626760482788,1.0087483176312248e-10,5.049448250979383e-13,27.04539570301266,0.4057148398816284,1.499e-06,0.024735021,0.1,0.1,
2,2.8398804664611816,6.485868102288022e-10,3.246590099648559e-12,38.34602957951899,0.5752386272932407,9.638e-06,0.035070296,0.1,0.1,
3,4.021593332290649,2.129205921938089e-10,1.0658047862855392e-12,48.647665571443035,0.7297759757017153,3.164e-06,0.0444919,0.1,0.1,
4,5.204004764556885,8.613728129205922e-11,4.311740610239431e-13,57.72801600111392,0.8659925795342616,1.28e-06,0.052796552,0.1,0.1,
5,6.388059854507446,-1.7160161507402423e-10,8.589724392224835e-13,67.17021110118986,1.0076372775409543,-2.55e-06,0.061432136,0.1,0.1,
6,7.570743799209595,1.749663526244953e-11,8.758440952442415e-14,76.33621637632912,1.145138881777786,2.6e-07,0.06981513,0.1,0.1,
7,8.758715867996216,1.1554508748317631e-10,5.783787387488068e-13,85.30652973986075,1.2797048418855763,1.717e-06,0.078019148,0.1,0.1,
8,9.938628673553467,8.411843876177658e-12,4.210961716705946e-14,94.22179648767089,1.413444988057616,1.25e-07,0.086172819,0.1,0.1,
9,11.124210357666016,3.082099596231494e-11,1.5428113631475674e-13,103.7924723603291,1.557017121060954,4.58e-07,0.094925912,0.1,0.1,
10,12.31700348854065,-1.975100942126514e-10,9.886607810442517e-13,112.60519810208861,1.6892156187945488,-2.935e-06,0.1029858,0.1,1.0,
11,13.474786281585693,-2.066621803499327e-10,1.0344727669805725e-12,121.90671857315188,1.828749797524221,-3.071e-06,0.11149273,0.1,1.0,
12,14.635420560836792,-1.9609690444145357e-10,9.815868714614787e-13,130.90640428349366,1.963756090161222,-2.914e-06,0.11972361,0.1,1.0,
13,15.791912078857422,-2.1716016150740245e-10,1.0870218098011813e-12,140.2381138453544,2.1037431395122264,-3.227e-06,0.12825815,0.1,1.0,
14,16.96278953552246,3.628532974427995e-10,1.8163129184303276e-12,148.34105679913927,2.2252973212230107,5.392e-06,0.1356689,0.1,1.0,
15,18.120788097381592,3.943472409152086e-10,1.9739600495608994e-12,157.68809511898735,2.365514332403463,5.86e-06,0.14421746,0.1,1.0,
16,19.275994539260864,2.724764468371467e-10,1.3639195501059177e-12,167.72906524125315,2.5161411349576297,4.049e-06,0.15340067,0.1,1.0,
17,20.43652081489563,3.306191117092867e-10,1.6549604062530867e-12,176.1377429397848,2.6422815953511583,4.913e-06,0.16109103,0.1,1.0,
18,21.59059190750122,5.040376850605653e-11,2.523052449207543e-13,184.58048523403798,2.7689329909078344,7.49e-07,0.16881254,0.1,1.0,
19,22.74936866760254,7.987886944818304e-11,3.9984675130174015e-13,193.2778988336329,2.8994048364869878,1.187e-06,0.17676697,0.1,1.0,
20,23.92473840713501,-9.596231493943472e-11,4.80349864755197e-13,202.889795742962,3.043595004154409,-1.426e-06,0.18555776,0.1,1.0,
21,25.08925771713257,1.4569313593539703e-10,7.292888042381047e-13,211.77581856297468,3.1768962659660778,2.165e-06,0.19368469,0.1,1.0,
22,26.256333112716675,9.946164199192464e-11,4.978709160934113e-13,220.4817290449114,3.3074955582937915,1.478e-06,0.20164689,0.1,1.0,
23,27.43183445930481,2.2065948855989232e-10,1.1045428627666065e-12,230.25817900226582,3.4541542891090016,3.279e-06,0.21058818,0.1,1.0,
24,28.605714559555054,8.055181695827725e-11,4.032152791912836e-13,238.88411923287342,3.5835539089541286,1.197e-06,0.21847724,0.1,1.0,
25,29.77186632156372,2.1500672947510094e-10,1.0762472242870111e-12,247.7657044213291,3.716788576969252,3.195e-06,0.22660011,0.1,1.0,
26,30.9388267993927,-4.172274562584118e-12,2.0883851934848747e-14,256.5975121322532,3.8492764431231206,-6.2e-08,0.23467745,0.1,1.0,
27,32.09262204170227,-2.4495289367429338e-11,1.2261230980605992e-13,266.620756649443,3.9996373625634956,-3.64e-07,0.24384445,0.1,1.0,
28,33.296595096588135,-7.637954239569314e-11,3.8232570111034996e-13,275.76388709803797,4.136795487754372,-1.135e-06,0.25220652,0.1,1.0,
29,34.47543740272522,2.5235531628532975e-11,1.2632238980976492e-13,284.0831017482911,4.2615939027209775,3.75e-07,0.25981506,0.1,1.0,
30,35.659980058670044,2.5235531628532975e-11,1.2632238980976492e-13,293.7508034390506,4.406621249544965,3.75e-07,0.26865689,0.1,1.0,
31,36.97933626174927,3.1729475100942123e-10,1.5882635432702703e-12,303.69743935550633,4.555833015934614,4.715e-06,0.27775383,0.1,1.0,
32,38.167120695114136,1.379542395693136e-10,6.905507289777693e-13,313.3705123301266,4.700940898606148,2.05e-06,0.28660057,0.1,1.0,
33,39.34675621986389,-8.055181695827725e-11,4.032105738608288e-13,322.5629468890254,4.838838608596586,-1.197e-06,0.29500773,0.1,1.0,
34,40.5367488861084,3.137954239569314e-10,1.5707471954261066e-12,332.2215893258607,4.983730143441411,4.663e-06,0.30384128,0.1,1.0,
35,41.72352600097656,5.881561238223419e-11,2.944118350619898e-13,340.7971034219494,5.112373284001649,8.74e-07,0.31168422,0.1,1.0,
36,42.91929340362549,3.0188425302826377e-10,1.5111242422211545e-12,350.6178235393164,5.259696148516885,4.486e-06,0.320666,0.1,1.0,
37,44.110719203948975,1.8559892328398386e-10,9.29042534274082e-13,359.6456772490886,5.395124967311275,2.758e-06,0.32892264,0.1,1.0,
38,45.3084831237793,5.464333781965007e-11,2.7352696574693595e-13,368.44340221318987,5.527101570253738,8.12e-07,0.33696881,0.1,1.0,
39,46.50974106788635,2.332436069986541e-10,1.1675343437825192e-12,377.76078520172155,5.666873747995201,3.466e-06,0.34549025,0.1,1.0,
40,47.71455192565918,2.0942126514131899e-10,1.0482884386814632e-12,354.78938391078486,5.322274634373645,3.112e-06,0.3244812,0.1,1.0,
41,48.92445135116577,0.0014184266487213997,7.1000563740869525e-06,330.0923853292405,5.267982568900251,21.07782,0.32117119,100.0,1.0,
42,50.117329120635986,0.001623700269179004,8.12757110570962e-06,330.89404163101267,5.325767638888011,24.128186,0.32469415,100.0,1.0,
43,51.33767247200012,0.0017825790040376852,8.922852254085833e-06,335.67863692822783,5.432959395841757,26.489124,0.33122927,100.0,1.0,
44,52.55786442756653,0.0018032697173620458,9.02642139609818e-06,337.7425170273418,5.468532459140991,26.796588,0.33339804,100.0,1.0,
45,53.776520013809204,0.00201569266487214,1.0089722698110385e-05,341.5978421598733,5.573720015202132,29.953193,0.33981097,100.0,1.0,
46,55.007442235946655,0.002194844952893674,1.09864848574939e-05,345.7628603750633,5.676136708384527,32.615396,0.34605497,100.0,1.0,
47,56.22722029685974,0.0023100535666218036,1.1563171465113449e-05,346.2337342434177,5.708882504819746,34.327396,0.34805137,100.0,1.0,
48,57.44890332221985,0.002462727254374159,1.2327392717444816e-05,347.88084759873414,5.767624984480142,36.596127,0.3516327,100.0,1.0,
49,58.67248511314392,0.0025933650067294753,1.2981311203180711e-05,352.25606230886075,5.862380105196164,38.537404,0.3574096,100.0,1.0,
50,59.89876937866211,0.0027820386271870793,1.3925733209557372e-05,354.17494185392405,5.933224458185978,41.341094,0.36172874,100.0,1.0,
51,61.12888216972351,0.002961679004037685,1.482493853948123e-05,356.37387189822783,6.00625623667282,44.01055,0.36618124,100.0,1.0,
52,62.36618518829346,0.0030634901749663525,1.533456309688784e-05,360.6303097146835,6.092803586434027,45.523464,0.37145774,100.0,1.0,
