,Tiempo [s],Corriente [A],Err corriente [A],Tension [V],Err tension [V],Hora
0,0.0,4.829273216689097e-09,2.4173573206031527e-11,101.28770199448101,1.5194434973200504,9:44:07
1,1.5898051261901855,4.929407806191117e-09,2.4674810242198194e-11,113.08381465279744,1.6963999874096682,
2,2.7746968269348145,5.1734185733512786e-09,2.5896238665011348e-11,122.48305990641771,1.8374004957623067,
3,4.022521257400513,4.753095558546433e-09,2.3792255783357e-11,131.79607817469625,1.9771033896687402,
4,5.177881717681885,4.753835800807537e-09,2.3795961164672744e-11,141.08668631622783,2.1164738723172496,
5,6.336261987686157,4.813055181695827e-09,2.409239166993204e-11,149.78731408470884,2.246993940990453,
6,7.493977785110474,4.846904441453567e-09,2.4261828651915643e-11,158.46160210221512,2.37711887553588,
7,8.65338397026062,4.7707267833109015e-09,2.3880511229240987e-11,167.82884814763293,2.5176390033075036,
8,9.80278491973877,4.693203230148048e-09,2.349245674962922e-11,177.16446200456963,2.6576846092727116,
9,10.96310806274414,4.715746971736204e-09,2.36053024533357e-11,185.7815760393165,2.7869518616453957,
10,12.1156747341156,4.527456258411844e-09,2.2662788187753145e-11,194.66737563326586,2.9202496789503467,
11,13.279028415679932,4.599394347240915e-09,2.30228838810721e-11,203.94957443186078,3.059494027043332,
12,14.45144534111023,4.39414535666218e-09,2.199548269807768e-11,213.09324292793676,3.1966601894165514,
13,15.607763528823853,4.592328398384926e-09,2.298751433214926e-11,221.4866874129367,3.322572164197796,
14,16.769125938415527,4.4477792732166895e-09,2.2263954417043262e-11,230.9447198967595,3.4644541843160033,
15,17.939738750457764,4.637483176312247e-09,2.321354259240866e-11,240.50261903206328,3.607834400832343,
16,19.09923553466797,4.6783310901749665e-09,2.3418012270467663e-11,248.69073531822778,3.7306661664871874,
17,20.274454355239868,4.391318977119785e-09,2.198133487850861e-11,257.57688626879747,3.863969232564279,
18,21.43988585472107,4.5323687752355316e-09,2.2687378445575655e-11,267.6985895139367,4.015807189290093,
19,22.61159896850586,4.576110363391656e-09,2.290633279605018e-11,275.92233982811393,4.139173509582721,
20,23.77578806877136,4.58600269179004e-09,2.2955850164542143e-11,285.4026754802278,4.281390138924946,
21,24.940940141677856,4.183310901749663e-09,2.0940122728797683e-11,294.3520488305569,4.415641592518352,
22,26.1060471534729,4.278532974427994e-09,2.1416769507134344e-11,303.1942610856836,4.548285609643431,
23,27.27938961982727,4.109959623149394e-09,2.0572953125698287e-11,312.8069779408102,4.692488079120559,
24,28.447497844696045,4.489367429340511e-09,2.247212947641707e-11,321.4190023390127,4.821679060273062,
25,29.609278202056885,4.522543741588157e-09,2.2638197929930638e-11,330.93851434854435,4.964483388071004,
26,30.77095460891724,4.3243606998654115e-09,2.1646166295860796e-11,339.56363538835444,5.093870706106424,
27,31.931792497634888,3.9780619111709294e-09,1.991272154581533e-11,348.90264279498734,5.233967159551752,
28,33.10817122459412,4.194616419919246e-09,2.0996714007073627e-11,357.37264722951903,5.361027631287206,
29,34.28224277496338,4.4534320323014805e-09,2.2292250056181436e-11,367.0772693632658,5.506608887596248,
30,35.45550346374512,4.290511440107672e-09,2.1476729313879262e-11,375.8079362698354,5.637579530552969,
31,36.63081407546997,4.127590847913862e-09,2.066120857158082e-11,384.8097020277975,5.772616987774562,
32,37.813846588134766,4.402624495289368e-09,2.2037926156784887e-11,394.28575852611385,5.914769483682183,
33,38.99082803726196,4.200201884253028e-09,2.1024672793364727e-11,403.3072389643671,6.050102676409122,
34,40.182538986206055,3.920255720053835e-09,1.9623364950347162e-11,412.8215510187975,6.192828928721459,
35,41.37778329849243,4.145962314939434e-09,2.0753169398779078e-11,422.9253539650507,6.34439837794741,
36,42.56955313682556,4.432974427994617e-09,2.218984679072901e-11,431.133967938152,6.46753768884492,
37,43.77518630027771,4.054239569313593e-09,2.0294038968482073e-11,440.4347285176709,6.607060385885532,
38,44.97533583641052,3.762314939434724e-09,1.883277131872782e-11,449.76406941554416,6.7470118420004495,
39,46.17703223228455,3.979475100942127e-09,1.9919795455599777e-11,459.2117747805696,6.888739023340485,
40,47.38847899436951,3.7234858681022876e-09,1.8638407226080796e-11,468.35976298064566,7.025969975244827,
41,48.59545063972473,4.265814266487214e-09,2.1353104319073752e-11,477.745237831519,7.166763695264323,
