,Tiempo [s],Corriente tubo [A],Err corriente tubo [A],Tension tubo [V],Err tension tubo [V],"Medicion ""corriente"" [V]","Medicion ""tension"" [V]","Rango ""corriente""","Rango ""tension""",Hora
0,0.0,7.502018842530283e-10,3.755237897313259e-12,26.406347651582283,0.3961284632728646,1.1148e-05,0.024150573,0.1,0.1,11:18:38
1,1.6117098331451416,5.932705248990578e-10,2.969697060291747e-12,26.487084826645567,0.39733958706152994,8.816e-06,0.024224411,0.1,0.1,
2,2.8336939811706543,5.673620457604307e-10,2.8400087146610043e-12,26.63737264418987,0.39959408682626174,8.431e-06,0.02436186,0.1,0.1,
3,4.017693042755127,6.674966352624494e-10,3.341245749385972e-12,27.004034703518982,0.4050944993836825,9.919e-06,0.024697201,0.1,0.1,
4,5.319923639297485,8.384253028263796e-10,4.19685197882445e-12,44.97579542035444,0.6746934628393083,1.2459e-05,0.041133711,0.1,0.1,
5,6.500635862350464,6.99057873485868e-10,3.499229734208183e-12,54.14730868417722,0.8122776205855572,1.0388e-05,0.049521738,0.1,0.1,
6,7.6799702644348145,8.636608344549125e-10,4.323171796219555e-12,62.97819660546835,0.944752039227058,1.2834e-05,0.057598242,0.1,0.1,
7,8.874061822891235,6.170928667563931e-10,3.0889429677344733e-12,72.5864327522405,1.088887563436727,9.17e-06,0.066385683,0.1,0.1,
8,10.062853574752808,3.5585464333781967e-10,1.7812802226528475e-12,81.72871564269619,1.2260332017960753,5.288e-06,0.074746975,0.1,0.1,
9,11.250731945037842,6.604979811574697e-10,3.3062130533961326e-12,91.50723159643039,1.3727232593079808,9.815e-06,0.083690157,0.1,0.1,
10,12.42805027961731,6.415881561238224e-10,3.2115574036639523e-12,99.74202295253166,1.4962554417874345,9.534e-06,0.091221484,0.1,0.1,
11,13.609651803970337,6.234185733512786e-10,3.1206071352521427e-12,109.304599483481,1.6397060654727187,9.264e-06,0.099967169,0.1,0.1,
12,14.793572902679443,4.2166890982503363e-10,2.1107223044926787e-12,118.61290302134178,1.7793386767050035,6.266e-06,0.1084803,0.1,1.0,
13,15.954438209533691,5.204576043068641e-10,2.6052222812505077e-12,127.39437657220255,1.9110715397911466,7.734e-06,0.11651161,0.1,1.0,
14,17.12265133857727,6.185060565275909e-10,3.096016877498898e-12,136.05210948305063,2.040948141804631,9.191e-06,0.12442975,0.1,1.0,
15,18.287894010543823,5.232166890982503e-10,2.6190332479173453e-12,145.1842518557595,2.1779414227454397,7.775e-06,0.13278177,0.1,1.0,
16,19.46705937385559,5.155450874831763e-10,2.580632023528113e-12,154.50452420165826,2.3177569028570697,7.661e-06,0.14130585,0.1,1.0,
17,20.626908540725708,4.917227456258412e-10,2.461386116245523e-12,163.30761619262026,2.449814041647078,7.307e-06,0.14935693,0.1,1.0,
18,21.798267126083374,5.358681022880215e-10,2.682361582884882e-12,172.8753690705443,2.593342043904027,7.963e-06,0.15810735,0.1,1.0,
19,22.964109420776367,4.7907133243607e-10,2.398057781325539e-12,181.50932272226586,2.72286189343602,7.119e-06,0.16600374,0.1,1.0,
20,24.132088899612427,4.679004037685061e-10,2.342140209015951e-12,190.4161567976329,2.856475293165977,6.953e-06,0.1741497,0.1,1.0,
21,25.30795192718506,4.160834454912517e-10,2.082763518376213e-12,199.20622675029114,2.988337079217845,6.183e-06,0.18218887,0.1,1.0,
