,Tiempo [s],Corriente tubo [A],Err corriente tubo [A],Tension tubo [V],Err tension tubo [V],"Medicion ""corriente"" [V]","Medicion ""tension"" [V]","Rango ""corriente""","Rango ""tension""",Hora
0,0.0,-7.705248990578736e-11,3.856942289458072e-13,26.425794126177212,0.396420000343475,-1.145e-06,0.024168347,0.1,0.1,10:31:15
1,1.937284231185913,-1.8492597577388964e-10,9.256693005825935e-13,26.535920206936705,0.39807200547122784,-2.748e-06,0.024269064,0.1,0.1,
2,3.120800733566284,-1.9825033647375503e-10,9.92366162255426e-13,26.91419154041772,0.4037465463926411,-2.946e-06,0.024615021,0.1,0.1,
3,4.296254396438599,-2.977119784656797e-10,1.4902346606392579e-12,40.92459018693671,0.6139200558170834,-4.424e-06,0.037428568,0.1,0.1,
4,5.47434139251709,3.7146702557200536e-11,1.8594527331126731e-13,45.94980818411393,0.6893046958961078,5.52e-07,0.042024507,0.1,0.1,
5,6.65428614616394,3.990578734858681e-11,1.997562297217451e-13,54.7936214648481,0.8219729750438279,5.93e-07,0.05011283,0.1,0.1,
6,7.835084676742554,2.7321668909825034e-11,1.3676481129991377e-13,64.18348255559494,0.9628326519973296,4.06e-07,0.058700554,0.1,0.1,
7,9.016632318496704,5.2557200538358007e-11,2.6308453151766105e-13,73.65807650972152,1.1049634364835734,7.81e-07,0.067365773,0.1,0.1,
8,10.19837737083435,1.4010767160161508e-10,7.013300194613277e-13,82.71582416513924,1.2408410181650877,2.082e-06,0.075649756,0.1,0.1,
9,11.380257844924927,2.1150740242261104e-10,1.0587308766744688e-12,91.82206457511393,1.37744604831524,3.143e-06,0.083978089,0.1,0.1,
10,12.559974193572998,1.379542395693136e-10,6.905507289777693e-13,100.95120960154429,1.5143946440938951,2.05e-06,0.092327368,0.1,0.1,
11,13.740955352783203,1.3586810228802154e-10,6.801082913404824e-13,110.23373970846835,1.6536442241685134,2.019e-06,0.10081693,0.1,0.1,
12,14.9184889793396,1.4919246298788696e-10,7.468051513850079e-13,119.26581203578482,1.7891330495451292,2.217e-06,0.10907743,0.1,1.0,
13,16.07047462463379,1.9259757738896364e-10,9.640752292670697e-13,127.98987170977215,1.9200046219276818,2.862e-06,0.11705623,0.1,1.0,
14,17.223022937774658,2.1716016150740245e-10,1.0870265151323283e-12,136.91625533667087,2.0539112968010436,3.227e-06,0.12522007,0.1,1.0,
15,18.37333917617798,1.5969044414535667e-10,7.993541930602738e-13,146.01247879105063,2.1903657584767044,2.373e-06,0.13353924,0.1,1.0,
16,19.531662464141846,2.4865410497981157e-10,1.2446736442508165e-12,154.92974246272152,2.3241356372261293,3.695e-06,0.14169474,0.1,1.0,
17,20.690642833709717,2.1150740242261104e-10,1.0587308766744688e-12,164.0714621997848,2.461272603304311,3.143e-06,0.15005552,0.1,1.0,
18,21.846614599227905,1.7792732166890984e-10,8.90641311014427e-13,172.97373710903798,2.5948176049722993,2.644e-06,0.15819731,0.1,1.0,
19,22.9971981048584,1.6810228802153432e-10,8.41460797186797e-13,182.3257729040253,2.7351095751798975,2.498e-06,0.16675044,0.1,1.0,
20,24.151298999786377,1.7368775235531628e-10,8.694195824197146e-13,190.67541844418986,2.860364469298682,2.581e-06,0.17438681,0.1,1.0,
21,25.302765369415283,1.3236877523553162e-10,6.625919443796494e-13,200.16003007110126,3.002645232075512,1.967e-06,0.18306119,0.1,1.0,
22,26.46296238899231,1.6251682368775237e-10,8.135020120267362e-13,208.35048640310126,3.125512098894053,2.415e-06,0.19055197,0.1,1.0,
23,27.62635040283203,1.4360699865410495e-10,7.188463665365949e-13,217.87970862359495,3.2684620801189213,2.134e-06,0.19926715,0.1,1.0,
24,28.794203758239746,3.0538358008075367e-10,1.5286405900497398e-12,226.51948687630377,3.3980693545118963,4.538e-06,0.20716887,0.1,1.0,
25,29.96540379524231,1.2611036339165544e-10,6.312646316950351e-13,235.74560866220253,3.53647242284508,1.874e-06,0.21560684,0.1,1.0,
26,31.126707792282104,1.0995962314939435e-10,5.50419954891726e-13,244.83809205726584,3.672870788268479,1.634e-06,0.22392259,0.1,1.0,
27,32.29262375831604,2.5639300134589503e-10,1.2834117209719544e-12,253.74960356430378,3.8065543903258274,3.81e-06,0.23207283,0.1,1.0,
28,33.46036648750305,2.0309555854643338e-10,1.0166242718967346e-12,263.102449125038,3.946858498319003,3.018e-06,0.2406267,0.1,1.0,
29,34.6317400932312,7.56393001345895e-11,3.78625025834715e-13,271.9493444628354,4.079572717771472,1.124e-06,0.24871784,0.1,1.0,
30,35.80691599845886,2.0995962314939435e-11,1.0510070478726327e-13,281.4568412557215,4.222196783051181,3.12e-07,0.25741315,0.1,1.0,
31,36.98240089416504,2.4232839838492596e-10,1.2130094772237069e-12,290.3454776158354,4.355537246629781,3.601e-06,0.26554247,0.1,1.0,
32,38.16409945487976,3.4602960969044416e-10,1.7320997074472677e-12,299.3443856245823,4.490531893553594,5.142e-06,0.27377264,0.1,1.0,
33,39.34899091720581,-1.2045760430686405e-10,6.029642892861405e-13,308.83035939177216,4.632832995322471,-1.79e-06,0.28244826,0.1,1.0,
34,40.5375816822052,2.605652759084792e-10,1.3042965971338394e-12,317.9481820142026,4.769611568677868,3.872e-06,0.29078719,0.1,1.0,
35,41.72573256492615,2.402422611036339e-10,1.2025670391682915e-12,327.04568420050634,4.906085221176672,3.57e-06,0.29910753,0.1,1.0,
36,42.91847205162048,1.4502018842530283e-10,7.259202759455585e-13,336.61708018829114,5.0496678434687166,2.155e-06,0.30786128,0.1,1.0,
37,44.11580681800842,1.1978465679676983e-10,5.996004664064299e-13,345.6595513707595,5.185315962524142,1.78e-06,0.31613129,0.1,1.0,
38,45.314558029174805,1.1487213997308209e-10,5.750102105607049e-13,354.8820185927468,5.323664246798101,1.707e-06,0.32456592,0.1,1.0,
39,46.51660203933716,1.2819650067294752e-10,6.417070692340378e-13,364.4648827866456,5.467418930401909,1.905e-06,0.33333016,0.1,1.0,
40,47.721596002578735,2.199192462987887e-10,1.1008374815352046e-12,373.68197995377216,5.60568667882832,3.268e-06,0.34175988,0.1,1.0,
41,48.92915964126587,5.6056527590847916e-11,2.8060087297567077e-13,383.8340187863671,5.757979638489147,8.33e-07,0.35104467,0.1,1.0,
42,50.14022159576416,1.3236877523553162e-10,6.625919443796494e-13,392.7444051281899,5.891646346061165,1.967e-06,0.35919388,0.1,1.0,
43,51.35513114929199,5.955585464333782e-11,2.981172152070211e-13,401.96436946158224,6.029957068809486,8.85e-07,0.36762622,0.1,1.0,
44,52.57659125328064,1.2819650067294752e-10,6.417070692340378e-13,411.63297765854435,6.174998029636216,1.905e-06,0.37646888,0.1,1.0,
45,53.80091667175293,1.3378196500672947e-10,6.696658537224275e-13,420.8369224427595,6.313068457034932,1.988e-06,0.38488657,0.1,1.0,
46,55.02816987037659,3.0329744279946167e-10,1.518198151920576e-12,430.3555030319873,6.455858842781874,4.507e-06,0.39359202,0.1,1.0,
47,56.25605320930481,1.0013458950201884e-10,5.012394441880578e-13,440.06106142503796,6.601454041141917,1.488e-06,0.40246847,0.1,1.0,
48,57.47612905502319,1.3324360699865411e-11,6.66996321699778e-14,449.6702234987088,6.745603202776983,1.98e-07,0.41125676,0.1,1.0,
49,58.698896408081055,1.6823687752355317e-11,8.421589372157546e-14,459.0359047908861,6.8860998750980995,2.5e-07,0.41982237,0.1,1.0,
50,59.919936180114746,1.2584118438761777e-11,6.299427531284696e-14,468.59082181236704,7.029435313027106,1.87e-07,0.42856105,0.1,1.0,
51,61.14891982078552,4.454912516823688e-10,2.2299682115932895e-12,477.9703173635443,7.1701393118478105,6.62e-06,0.4371393,0.1,1.0,
52,62.37991976737976,5.323014804845222e-11,2.6645305865392745e-13,487.4454325154557,7.312277537656173,7.91e-07,0.44580499,0.1,1.0,
53,63.61559271812439,2.69650067294751e-10,1.34977173074918e-12,481.09258187097475,7.2169770581005395,4.007e-06,0.43999484,0.1,1.0,
54,64.8545389175415,0.0005395899663526246,2.700920785450932e-06,476.44163855139243,7.267491574656973,8.0183069,0.44307454,10.0,1.0,
55,66.0005612373352,0.0008268644010767161,4.138940753035843e-06,477.22662266468353,7.343306003035409,12.287205,0.44769669,100.0,1.0,
56,67.20857048034668,0.0008684402422611037,4.347052195710893e-06,484.04286669,7.454826010431349,12.905022,0.45449569,100.0,1.0,
57,68.4372980594635,0.0009379849259757739,4.695164081025553e-06,490.9364007178481,7.57374022713253,13.938456,0.46174549,100.0,1.0,
58,69.66814136505127,0.000997557267833109,4.99335855296607e-06,498.2083183136708,7.6961076434137485,14.823701,0.46920582,100.0,1.0,
59,70.90827560424805,0.001045922207267833,5.2354534098328875e-06,504.93556165202534,7.807805945652419,15.542404,0.47601569,100.0,1.0,
60,72.15035486221313,0.0010959229475100943,5.485736408088732e-06,512.4101129435442,7.931079430819909,16.285415,0.48353126,100.0,1.0,
61,73.39550065994263,0.0011729034993270525,5.871069169619594e-06,519.0730503592405,8.048192007489375,17.429346,0.49067122,100.0,1.0,
62,74.64129853248596,0.0012418409152086137,6.216141323656708e-06,525.8724346853164,8.165558493160583,18.453756,0.49782666,100.0,1.0,
63,75.89075589179993,0.001293249865410498,6.47347323777181e-06,532.9597583465822,8.283337006353532,19.217693,0.50500722,100.0,1.0,
64,77.14915466308594,0.001359551413189771,6.805351327712049e-06,539.8331803601266,8.401226565012104,20.202934,0.51219455,100.0,1.0,
65,78.404372215271,0.001416414401076716,7.089983895733541e-06,546.4280743003798,8.512833834943235,21.047918,0.51899887,100.0,1.0,
66,79.66771030426025,0.0014660046433378196,7.338212111100088e-06,553.204015094557,8.62553580142992,21.784829,0.52586993,100.0,1.0,
67,80.93233680725098,0.0015316217362045762,7.666664103209662e-06,561.1565865022784,8.759461343246965,22.759899,0.53403492,100.0,1.0,
68,82.19971656799316,0.001607698183041723,8.047471289639258e-06,567.8994051436708,8.877570695409878,23.890395,0.54123565,100.0,1.0,
69,83.46921491622925,0.001670621063257066,8.362437169001953e-06,574.2504616617722,8.986870966800138,24.825429,0.54789932,100.0,1.0,
70,84.74929642677307,0.0017427903768506055,8.723686864521273e-06,580.9370794740506,9.10326626675486,25.897865,0.55499555,100.0,1.0,
71,86.02560353279114,0.0018074197173620456,9.047194577409679e-06,588.1107682889873,9.225287429736207,26.858257,0.56243477,100.0,1.0,
72,87.30722498893738,0.001877033916554509,9.395654428416904e-06,594.8756361437975,9.342286994568038,27.892724,0.56956784,100.0,1.0,
73,88.5927414894104,0.0019411063930013458,9.716374710418598e-06,601.6395693349367,9.458037187210362,28.844841,0.57662474,100.0,1.0,
74,89.88120031356812,0.0020141622476446837,1.0082062063279496e-05,608.0184388891139,9.570013513640413,29.930451,0.58345156,100.0,1.0,
75,91.1732611656189,0.0020804139300134587,1.0413690547626132e-05,615.4004120162026,9.69552084592306,30.914951,0.59110332,100.0,1.0,
76,92.4550199508667,0.0021631746298788695,1.0827956336486591e-05,621.8960305568354,9.811411937365651,32.144775,0.59816881,100.0,1.0,
77,93.74997735023499,0.002219776850605653,1.1111283612098896e-05,628.0852427625316,9.916875356439396,32.985884,0.60459856,100.0,1.0,
78,95.04034447669983,0.002311913593539704,1.1572481989549549e-05,634.4034718729113,10.032195481091573,34.355036,0.61162924,100.0,1.0,
79,96.33394598960876,0.0023948376850605655,1.1987565649369877e-05,641.4666435389872,10.156636986684902,35.587288,0.61921602,100.0,1.0,
80,97.62780809402466,0.002453520255720054,1.2281306295185426e-05,648.1180892963291,10.26949822239136,36.459311,0.62609679,100.0,1.0,
81,98.92777514457703,0.0025383129205921937,1.2705743259347909e-05,653.5389173756963,10.369719105640804,37.71933,0.63220692,100.0,1.0,
82,100.23248767852783,0.0025846265141318977,1.2937569928212354e-05,653.4991521825316,10.379446725640832,38.40755,0.63279998,100.0,1.0,
83,101.54101634025574,0.0025139063257065947,1.2583573953141908e-05,646.4698345010128,10.258233543936774,37.356648,0.62541002,100.0,1.0,
84,102.8450448513031,0.0024335954912516823,1.218157117593472e-05,641.1760484583544,10.16091752845502,36.163229,0.61947699,100.0,1.0,
85,104.15199089050293,0.002341222207267833,1.1719188771950314e-05,634.3662733374682,10.038170883093,34.790562,0.61199354,100.0,1.0,
86,105.45840907096863,0.0022703120457604306,1.136424187030668e-05,628.3872497725316,9.932671049057705,33.736837,0.60556157,100.0,1.0,
