,Tiempo [s],Corriente [A],Err corriente [A],Tension [V],Err tension [V],Hora
0,0.0,4.8292732166890984e-09,4.8292732166890984e-09,101.28770199448101,1.5194350573460074,9:44:07
1,1.5898051261901855,4.929407806191117e-09,4.929407806191117e-09,113.08381465279746,1.6963905645051367,
2,2.7746968269348145,5.1734185733512786e-09,5.1734185733512786e-09,122.48305990641772,1.837390289650352,
3,4.022521257400513,4.753095558546433e-09,4.753095558546433e-09,131.79607817469622,1.9770963610832848,
4,5.177881717681885,4.753835800807537e-09,4.753835800807537e-09,141.08668631622783,2.1164663482720427,
5,6.336261987686157,4.813055181695827e-09,4.813055181695827e-09,149.78731408470884,2.2469859529486396,
6,7.493977785110474,4.846904441453567e-09,4.846904441453567e-09,158.46160210221515,2.377110424902143,
7,8.65338397026062,4.7707267833109015e-09,4.7707267833109015e-09,167.82884814763293,2.517630053127026,
8,9.80278491973877,4.693203230148048e-09,4.693203230148048e-09,177.16446200456963,2.65767516123243,
9,10.96310806274414,4.715746971736204e-09,4.715746971736204e-09,185.78157603931646,2.78694195406226,
10,12.1156747341156,4.527456258411844e-09,4.527456258411844e-09,194.66737563326583,2.9202392974956313,
11,13.279028415679932,4.599394347240915e-09,4.599394347240915e-09,203.94957443186075,3.059483150577407,
12,14.45144534111023,4.39414535666218e-09,4.39414535666218e-09,213.09324292793673,3.196648825327168,
13,15.607763528823853,4.592328398384926e-09,4.592328398384926e-09,221.4866874129367,3.322560352493642,
14,16.769125938415527,4.447779273216689e-09,4.447779273216689e-09,230.9447198967595,3.4644418682236497,
15,17.939738750457764,4.637483176312247e-09,4.637483176312247e-09,240.50261903206328,3.6078215750259166,
16,19.09923553466797,4.6783310901749665e-09,4.6783310901749665e-09,248.6907353182278,3.7306529040159937,
17,20.274454355239868,4.391318977119785e-09,4.391318977119785e-09,257.57688626879747,3.8639554962028657,
18,21.43988585472107,4.5323687752355316e-09,4.5323687752355316e-09,267.6985895139367,4.015792913147462,
19,22.61159896850586,4.576110363391656e-09,4.576110363391656e-09,275.92233982811393,4.139158794874999,
20,23.775788068771362,4.58600269179004e-09,4.58600269179004e-09,285.4026754802278,4.2813749186395995,
21,24.940940141677856,4.183310901749663e-09,4.183310901749663e-09,294.35204883055695,4.415625894971268,
22,26.1060471534729,4.278532974427994e-09,4.278532974427994e-09,303.19426108568354,4.548269440549232,
23,27.27938961982727,4.109959623149394e-09,4.109959623149394e-09,312.8069779408102,4.69247139738905,
24,28.447497844696045,4.489367429340511e-09,4.489367429340511e-09,321.4190023390127,4.82166191927003,
25,29.609278202056885,4.522543741588157e-09,4.522543741588157e-09,330.93851434854435,4.964465739401107,
26,30.770954608917236,4.324360699865411e-09,4.324360699865411e-09,339.56363538835444,5.093852597466813,
27,31.931792497634888,3.978061911170929e-09,3.978061911170929e-09,348.90264279498734,5.233948552871597,
28,33.108171224594116,4.194616419919246e-09,4.194616419919246e-09,357.372647229519,5.361008572909382,
29,34.28224277496338,4.4534320323014805e-09,4.4534320323014805e-09,367.0772693632658,5.506589311679709,
30,35.45550346374512,4.290511440107672e-09,4.290511440107672e-09,375.8079362698354,5.637559489038048,
31,36.63081407546997,4.127590847913862e-09,4.127590847913862e-09,384.8097020277975,5.772596466203809,
32,37.813846588134766,4.402624495289368e-09,4.402624495289368e-09,394.2857585261139,5.914748456761899,
33,38.99082803726196,4.200201884253028e-09,4.200201884253028e-09,403.3072389643671,6.050081168381662,
