,Tiempo [s],Corriente [A],Err corriente [A],Tension [V],Err tension [V],Hora
0,0.0,4.191049798115747e-09,4.191049798115747e-09,298.15170784884805,4.472625225481689,9:31:24
1,1.8497474193572998,4.858882907133244e-09,4.858882907133244e-09,289.8660930362405,4.3483314625529355,
2,3.0113260746002197,4.809555854643338e-09,4.809555854643338e-09,283.99570039088604,4.260268696746564,
3,4.170775651931763,4.7721399730821e-09,4.7721399730821e-09,278.12237724296205,4.1721619726297865,
4,5.32044529914856,4.304576043068641e-09,4.304576043068641e-09,271.47496250437973,4.072442873504113,
5,6.596069574356079,4.227052489905787e-09,4.227052489905787e-09,265.3870592087848,3.9811171872908186,
6,7.753978490829468,4.1043068640646025e-09,4.1043068640646025e-09,259.49434032303793,3.8927194854028313,
7,8.90614938735962,3.892732166890983e-09,3.892732166890983e-09,253.67636792741772,3.805443048477436,
8,10.056503534317017,4.672745625841185e-09,4.672745625841185e-09,247.6617865664177,3.7152174681897137,
9,11.211498022079468,4.55e-09,4.55e-09,241.27569051396205,3.6194185318212067,
10,12.361629247665405,3.844078061911171e-09,3.844078061911171e-09,235.37339113181008,3.530876981282807,
11,13.51221489906311,4.413189771197847e-09,4.413189771197847e-09,230.23058476177215,3.4537289983429478,
12,14.662564992904663,4.024629878869449e-09,4.024629878869449e-09,223.31405999501266,3.3499729516953116,
13,15.817544937133789,3.7044414535666218e-09,3.7044414535666218e-09,217.65516871605064,3.2650828933452405,
14,16.968122243881226,4.114199192462988e-09,4.114199192462988e-09,212.1080344556582,3.1818694836860058,
15,18.118958950042725,4.257335127860027e-09,4.257335127860027e-09,205.89083273232913,3.0886042190376273,
16,19.27208709716797,3.5401749663526246e-09,3.5401749663526246e-09,199.76694404705066,2.9967385673095093,
17,20.4249267578125,3.842664872139973e-09,3.842664872139973e-09,194.59768123648098,2.919193647387437,
18,21.576022624969482,4.2460969044414535e-09,4.2460969044414535e-09,188.37376213806326,2.825827672281783,
19,22.72615122795105,3.5267833109017495e-09,3.5267833109017495e-09,182.06614863200002,2.731205932904849,
20,23.878910303115845,3.887146702557201e-09,3.887146702557201e-09,176.12425214155695,2.6420706171293493,
21,25.031551361083984,4.2411170928667565e-09,4.2411170928667565e-09,169.81658988434177,2.5474483856824475,
22,26.186659336090088,4.194616419919246e-09,4.194616419919246e-09,164.14576548913925,2.462379377643495,
23,27.340984582901,4.090915208613728e-09,4.090915208613728e-09,158.01832505545568,2.370460582286709,
24,28.504666328430176,4.193203230148048e-09,4.193203230148048e-09,152.8652804169747,2.2931589092837705,
