,Tiempo [s],Corriente [A],Err corriente [A],Tension [V],Err tension [V],Hora
0,0.0,4.472409152086137e-09,4.472409152086137e-09,72.92405830836708,1.093947152643285,9:53:44
1,1.6213479042053223,4.411103633916555e-09,4.411103633916555e-09,60.502973326759495,0.9076163384173356,
2,2.847297191619873,4.450605652759085e-09,4.450605652759085e-09,50.7072989203924,0.7606697755784056,
3,4.032132148742676,4.604306864064603e-09,4.604306864064603e-09,41.99043857655697,0.6299067107544482,
4,5.218234539031982,4.4237550471063255e-09,4.4237550471063255e-09,33.38377984221519,0.5007967244366265,
5,6.4069061279296875,4.3835800807537016e-09,4.3835800807537016e-09,23.39212578970886,0.35091021995950744,
6,7.592441558837891,4.4872812920592186e-09,4.4872812920592186e-09,14.621301181974683,0.21933761693242707,
7,8.778594493865967,4.258075370121131e-09,4.258075370121131e-09,15.099093078696201,0.22650500303907709,
8,9.973036050796509,4.6579407806191115e-09,4.6579407806191115e-09,26.509446883278486,0.397673743073648,
9,11.151031255722046,4.567631224764468e-09,4.567631224764468e-09,26.53981208388608,0.39812923646106196,
10,12.332408428192139,4.451278600269179e-09,4.451278600269179e-09,26.599414229481013,0.3990233124087807,
11,13.514647006988525,4.296164199192463e-09,4.296164199192463e-09,26.713690484455697,0.4007375552948737,
12,14.69740605354309,4.282032301480485e-09,4.282032301480485e-09,26.02899060317722,0.39046625320352896,
13,15.892355918884277,4.437886944818304e-09,4.437886944818304e-09,44.485808991594936,0.6673401480914838,
14,17.08451008796692,4.4788021534320325e-09,4.4788021534320325e-09,53.47340228434177,0.8021645671421467,
15,18.270511627197266,4.4816285329744276e-09,4.4816285329744276e-09,62.5424635675443,0.9382110928320178,
16,19.463611602783203,4.409690444145356e-09,4.409690444145356e-09,71.32340060670887,1.0699354012482676,
17,20.651721954345703,4.429407806191117e-09,4.429407806191117e-09,80.53322332654429,1.2080935168669267,
18,21.845827341079712,4.39414535666218e-09,4.39414535666218e-09,89.7924654920253,1.3469929697078904,
19,23.032221794128418,4.278532974427994e-09,4.278532974427994e-09,99.29641399807595,1.4895632859177659,
20,24.217879056930542,4.294751009421265e-09,4.294751009421265e-09,108.26442367973418,1.6240939223958,
21,25.409201860427856,4.349057873485869e-09,4.349057873485869e-09,118.06040175211393,1.7710450614929694,
22,26.597163915634155,4.260901749663526e-09,4.260901749663526e-09,126.77333251755695,1.9017491926577479,
23,27.761372089385986,4.267227456258412e-09,4.267227456258412e-09,136.32986762153163,2.045108396516535,
24,28.927376985549927,4.212920592193809e-09,4.212920592193809e-09,144.48834311043038,2.1674950576724124,
25,30.095868587493896,4.200942126514132e-09,4.200942126514132e-09,154.04970040273415,2.310926595915146,
26,31.258217334747314,4.29542395693136e-09,4.29542395693136e-09,162.70611034645574,2.4407828893704933,
27,32.428935289382935,4.1565275908479144e-09,4.1565275908479144e-09,171.7081928348861,2.5758246232189825,
28,33.60455822944641,4.228465679676986e-09,4.228465679676986e-09,181.19276997664556,2.718104388119558,
29,34.781803131103516,4.198115746971737e-09,4.198115746971737e-09,189.50920933903797,2.842860697449167,
30,35.95966720581055,4.126917900403769e-09,4.126917900403769e-09,199.19141063893673,2.9881050239258213,
31,37.147618532180786,4.1290040376850605e-09,4.1290040376850605e-09,208.06674351743038,3.121245396825519,
32,38.33477163314819,4.133243606998655e-09,4.133243606998655e-09,217.89700167594935,3.268710766142925,
33,39.52838897705078,4.128331090174966e-09,4.128331090174966e-09,226.93689212046834,3.4043196934147173,
34,40.7078754901886,4.167765814266488e-09,4.167765814266488e-09,236.63901361662025,3.549862870792845,
35,41.88921761512756,4.090915208613728e-09,4.090915208613728e-09,245.41790934153164,3.6815565560139922,
36,43.074652433395386,4.035195154777927e-09,4.035195154777927e-09,254.92445488801266,3.8241658442190882,
37,44.271576166152954,4.0112382234185735e-09,4.0112382234185735e-09,263.5299467179367,3.9532582800192086,
38,45.472933292388916,4.051413189771198e-09,4.051413189771198e-09,272.67829134068353,4.090494156846966,
39,46.68089246749878,4.018304172274563e-09,4.018304172274563e-09,282.53475897356964,4.238352690604904,
40,47.88572907447815,4.02678331090175e-09,4.02678331090175e-09,291.6483665884557,4.375067464625999,
41,49.10371422767639,3.938627187079407e-09,3.938627187079407e-09,301.416455108076,4.521600196059031,
42,50.33402729034424,4.039434724091521e-09,4.039434724091521e-09,310.9900896632405,4.6652159327444105,
43,51.55562996864319,4.0415881561238225e-09,4.0415881561238225e-09,320.4627934630127,4.8073175680736915,
44,52.76604866981506,3.982301480484522e-09,3.982301480484522e-09,329.8140099392025,4.94759673777981,
45,53.99035120010376,3.951278600269179e-09,3.951278600269179e-09,339.6673941388101,5.0954090168976975,
46,55.218639850616455,3.93721399730821e-09,3.93721399730821e-09,348.87918986337974,5.233596722364732,
47,56.44012665748596,3.8045760430686406e-09,3.8045760430686406e-09,358.2275645764051,5.373833245948791,
48,57.66063070297241,3.801076716016151e-09,3.801076716016151e-09,367.6250093896708,5.5148059072087685,
49,58.89148736000061,3.818034993270525e-09,3.818034993270525e-09,377.5373602113418,5.663502765311973,
50,60.11156511306763,0.001092606191117093,0.001092606191117093,334.91638603531646,5.315345518062761,
51,61.38455557823181,0.001285035531628533,0.001285035531628533,336.2945413688608,5.39628855857532,
52,62.6163489818573,0.0014006522880215344,0.0014006522880215344,339.0579172953165,5.474707020958702,
53,63.84727334976196,0.0015940118438761777,0.0015940118438761777,340.902779286076,5.566525522887658,
54,65.08884286880493,0.0016711535666218034,0.0016711535666218034,346.72675748784815,5.678670381075459,
